Smiles,pChEMBL Value
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N3CC4(C[C@H]3C(=O)NCCCCCC(=O)NO)SCCS4,5.04
NS(=O)(=O)c1ccc(Nc2nc3OC4=C(C(c5ccc(Cl)cc5)c3s2)C(=O)NC=N4)cc1,4.465
OB(O)c1ccc(cc1)C(=O)\C=C\c2ccc(F)c(Br)c2,5.07
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,6.152058823529414
O=C(CCCN1CCCC1)Nc2ccc(NC(=O)c3cccc(NC(=O)Nc4cccc(c4)C(=O)Nc5ccc(NC(=O)CCCN6CCCC6)cc5)c3)cc2,4.96
O=C(CCCN1CCCC1)Nc2cccc(NC(=O)c3ccc(NC(=O)Nc4ccc(cc4)C(=O)Nc5cccc(NC(=O)CCCN6CCCC6)c5)cc3)c2,4.71
CSc1ncnc2[nH]cnc12,4.63
C(Oc1ncnc2ncn(C3COc4ccccc4CO3)c12)C5CCCCC5,4.87
COC1=CC=C2C(=CC1=O)[C@H]3CC4(C)N3C45C=C(O)C(=O)C(=C25)OC,4.54
Brc1ncnc2c1ncn2CC3COc4ccccc4S3,5.21
COc1ccc(cc1)c2sc3cc(OC)ccc3c2C(=O)c4cc(OC)c(OC)c(OC)c4,6.067500000000001
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(oc2c1OC(C)C)c4cnn(C)c4,7.38
CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,6.337777777777778
Oc1ccc(cc1)C(=C2CCCCC2)c3ccc(O)cc3,8.35
COC1(C=CC(=O)C=C1)c2nc3ccccc3s2,6.25
COc1cc2CC[C@H](NC(=O)C(F)(F)F)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)SC,7.46
COc1cc2CC[C@H](NC(=O)[C@@H](N)c3ccccc3)C4=CC(=O)C(=CC=C4c2c(OC)c1OC)SC.COc5cc6CC[C@H](NC(=O)[C@H](N)c7ccccc7)C8=CC(=O)C(=CC=C8c6c(OC)c5OC)SC,5.77
COc1ccc2C(=O)N(CCN(C)C)C(=O)c3c4ccccc4cc1c23,7.38
CN(C)CCN1C(=O)c2cccc3c4cccc(N)c4cc(C1=O)c23,6.25
CN(C)c1ccc(cc1)C2=CC(=O)c3ccc(N)cc3O2,5.23
Nc1cccc2OC(=CC(=O)c12)c3ccccc3,4.89
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,7.136000000000001
COc1ccc(\C=C(/C#N)\c2nc3ccccc3[nH]2)s1,4.88
Oc1ccc(CCCCc2ccc(O)c(O)c2)cc1O,4.59
COc1ccc(CCCCc2ccc(O)c(O)c2)cc1,4.8
Oc1ccc(CCCCc2ccc(Cl)c(Cl)c2)cc1O,4.67
COc1cc(NC(C)CCCNC(=O)NC2CCCC2)c3ncccc3c1,4.52
Clc1ccccc1\C=C\C(=O)c2ccc(cc2)N3CCNCC3,4.67
COc1cc(OC)c(cc1C2CCN(C)CC2)C(=O)\C=C\c3ccccn3,5.41
COc1cccc2c1cc3C(=O)N(CCN(C)C)C(=O)c4cccc2c34,6.07
CN(C)CCN1C(=O)c2cccc3cccc(C1=O)c23,5.0600000000000005
CN[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N(C)[C@H](\C=C(/C)\C(=O)O)C(C)C)C(C)(C)C,5.35
CN(C)CCN1C(=O)c2cccc3c2c(cc4cccc(Cl)c34)C1=O,6.72
CN[C@H](C(=O)N[C@H](C(=O)N[C@H](\C=C(/C)\C(=O)O)C(C)C)C(C)(C)C)C(C)(C)C,5.8
CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C)\C=C(/C)\C(=O)O)C(C)(C)C)C(C)(C)c1cn(C)c2ccccc12,8.4
CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](\C=C(/C)\C(=O)OC)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,8.61
CN(C)CCN1C(=O)c2cccc3c(SCc4ccccc4)ccc(C1=O)c23,5.47
CCCCCOc1ccc(O)c(c1)C(=O)\C=C\c2ccc(C)s2,4.32
COc1cc(NC(C)CCCNC(=O)NC2CCCCC2)c3ncccc3c1,4.39
CN(C)CCNCCC(=O)Nc1ccc2c(c1)C(=O)c3cccc4ccnc2c34,4.55
CCC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C=C(C)C)C(=C1C5(C)C)C,9.524
CCOC(=O)C(CS)n1c(C)cc2C(=O)CC(C)(C)Cc12,5.69
COc1ccc(cc1C(=O)\C=C\c2ccc(Cl)cc2)C3CCN(C)CC3,5.5
COc1ccc(cc1C(=O)\C=C\c2ccccc2Cl)C3CCN(C)CC3,5.54
COc1cc(OC)c(cc1N2CCN(C)CC2)C(=O)\C=C\c3ccncc3,4.91
CCCCc1ccc2[nH]c(c(C=C(C#N)C#N)c2c1)c3ccc(C)cc3,7.0
CCCCCCc1ccc2[nH]c(c(C=C(C#N)C#N)c2c1)c3ccc(OC)cc3,7.6
CCCCc1ccc2[nH]c(c(C=C(C#N)C#N)c2c1)c3ccc(OC)cc3,7.89
COc1cc(OC)c(cc1C2CCN(C)CC2)C(=O)\C=C\c3ccncc3,5.14
Clc1ccc(CCNC2=CC3=NCCc4c[nH]c(C2=O)c34)cc1,5.55
O=C1NC2(CSC3=C2C(=O)c4ncccc4C3=O)C(=O)N1c5ccncc5,8.0
CC(=O)O[C@H]1CCC(C)(C)[C@H]2[C@H](O)[C@]3(O)OC[C@@]12[C@@H]4CC[C@@H]5[C@@H](O)[C@]34C(=O)C5=C,5.44
CN1CCC(=CC1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4cccc(Cl)c4,6.0
CC(=CCc1cc(ccc1O)C(=O)NC2=Cc3ccc(O[C@H]4C[C@H](O)CO4)c(C)c3OC2=O)C,4.65
CN1CCCC(C1)Oc2ccc3C=C(NC(=O)c4ccc(OC(=O)C)c(CC=C(C)C)c4)C(=O)Oc3c2C,5.8
CN(C)CCCOc1ccc2C=C(NC(=O)c3ccc(OC(=O)C)c(CC=C(C)C)c3)C(=O)Oc2c1C,5.93
COc1cccc(c1)c2cc(ccc2OC)C(=O)NC3=Cc4ccc(OC5CN(C[C@@H](O)[C@H]5O)C(=O)C)c(C)c4OC3=O,5.04
COc1cccc(c1)c2cc(ccc2OC)C(=O)NC3=Cc4cc(OC)c(OC5CCCNC5)c(C)c4OC3=O,5.54
COc1cccc(c1)c2cc(ccc2OC)C(=O)NC3=Cc4ccc(OC5CCNCC5)c(OC)c4OC3=O,5.49
COc1cccc(c1)c2cc(ccc2OC)C(=O)NC3=Cc4ccc(OC5CCCN(C)C5)c(OC)c4OC3=O,5.86
CC(C)[C@@H]1NC(=O)C(C)(C)[C@H](CCCC=C)OC(=O)CNC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](Cc4ccccc4)N(C)C1=O,4.52
OC(=O)c1c(O)cccc1CC(=O)c2ccc(O)c(O)c2,4.0
CCOP(=O)(OCC)C(Cc1ccccc1)N=C=S,4.74
CCCC(N=C=S)P(=O)(OCC)OCC,4.91
CC(C)COP(=O)(CN=C=S)OCC(C)C,4.83
O=C1NC(=O)N(C\C=C\2/OC(=O)C(=C2OCc3ccccc3)OCc4ccccc4)C(=O)N1,4.75
CO[C@@H](C[C@@H]1OC(=O)C[C@@H](O)C[C@H](C)C[C@H](O)[C@H](C)[C@@H](OC)c2coc(n2)c3coc(n3)c4coc(\C=C\C[C@H](OC)[C@H]1C)n4)[C@@H](C)CCC(=O)\C(=C\[C@H](C)\C=C\N(C)C=O)\C,7.16
CCC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2[C@H](OC(=O)c4cccc(OC)c4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@H](CCC=C)NC(=O)OC(C)(C)C)C(=C1C5(C)C)C,8.405
CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C(C)O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)N(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@@H](OC(=O)C[C@@H]1O)C(C)C,7.31
COc1ccc(Nc2nc3cc4C(=O)C=C(Oc4cc3n2[C@H](C)C5CCCCC5)c6ccc(cc6)C(=O)N[C@@H](CC(C)C)C(=O)N)cc1,5.3
CC(C)CNc1nc2cc3C(=O)C=C(Oc3cc2n1Cc4ccccc4)c5ccc(cc5)C(=O)N[C@@H](Cc6ccccc6)C(=O)N,5.1
CCC(CO)Nc1nc(NCc2ccccc2)c3nc(O)n(C(C)C)c3n1,4.19
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O)OC,5.3
N#Cc1ccc(\C=C\c2nc3ncccc3[nH]2)cc1,4.89
Brc1cnc2nc(\C=C\c3ccc(cc3)C#N)[nH]c2c1,5.11
CC\C(=C(/Cc1ccccc1)\c2ccccc2)\c3ccc(OCN4CCCCC4)cc3,4.72
CCNC(=O)Nc1ccc(cc1)c2nc(N3CCOC[C@@H]3C)c4CO[C@@](C)(CO)c4n2,6.72
COc1cc(Cc2nc3c(N)ncnc3n2C\C=C\C)cc(OC)c1OC,4.29
